passenger_id,survived
295,0.7419132
1150,0.113181576
89,0.39985928
1063,0.06314906
1020,0.1480523
747,0.45247218
368,0.102928534
1047,0.53213334
569,0.3246422
232,0.23486628
365,0.94233525
351,0.065854356
535,0.11078689
287,0.20674253
767,0.113181576
528,0.098455586
430,0.7055255
60,0.3335385
1212,0.113181576
462,0.16434304
622,0.21210392
837,0.051907867
47,0.27974305
9,0.26722875
670,0.12006017
436,0.9294107
1110,0.09295405
780,0.5881971
197,0.56323373
545,0.86020505
522,0.109465174
133,0.21009994
205,0.22964878
795,0.113181576
119,0.19432913
316,0.26323795
686,0.5776765
290,0.2362689
594,0.076412745
613,0.12006017
803,0.12006017
328,0.11573672
991,0.113181576
252,0.28953934
38,0.28928256
826,0.19978839
266,0.1842524
276,0.17823187
500,0.087950155
350,0.69220346
906,0.11511102
833,0.046504617
201,0.18542789
893,0.10574371
929,0.102151655
657,0.33623815
1215,0.113181576
659,0.3234432
65,0.9547089
961,0.54692316
640,0.165113
942,0.113181576
1021,0.11034032
1290,0.80160755
976,0.113181576
48,0.9757842
199,0.93383
1028,0.54692316
992,0.67243373
1017,0.1480523
581,0.098455586
684,0.5439982
685,0.1480523
437,0.7584578
113,0.8910391
111,0.89464664
41,0.96708137
1124,0.6984807
121,0.9638644
568,0.26586995
964,0.06837463
784,0.11462139
517,0.1862709
366,0.069446556
869,0.11034032
31,0.29901233
58,0.21837817
903,0.41358855
509,0.109465174
474,0.14783172
298,0.4127939
516,0.18109913
808,0.113181576
625,0.21012343
725,0.5776765
256,0.26125282
781,0.08900922
167,0.95769525
660,0.36342335
1120,0.10526405
1012,0.6984807
1117,0.1480523
866,0.43943775
895,0.39122832
927,0.102151655
144,0.94026995
1280,0.14172432
190,0.9262956
44,0.9635067
843,0.102151655
429,0.09304087
478,0.5703362
933,0.0820198
1224,0.1480523
727,0.036358308
443,0.11224268
187,0.9009964
1035,0.182962
274,0.299063
967,0.81273025
78,0.97762656
432,0.07522906
134,0.9638644
301,0.23486628
806,0.3163505
503,0.25987774
259,0.37217683
1149,0.6984807
690,0.14172432
16,0.5918929
413,0.099429004
294,0.26161334
608,0.101316765
260,0.96223414
1081,0.6984807
1232,0.18502425
772,0.17681569
836,0.15481174
765,0.45180035
1090,0.5881971
531,0.098455586
913,0.1480523
492,0.6726164
768,0.113181576
341,0.6809343
387,0.9145065
1048,0.42064556
71,0.45542407
189,0.44014886
738,0.47407746
1200,0.113181576
752,0.08943346
339,0.5370808
794,0.47900775
171,0.24349813
1076,0.6984807
1004,0.6984807
702,0.56885207
384,0.098455586
482,0.84186524
1229,0.11511102
572,0.89755094
311,0.96495736
342,0.77952987
291,0.95701075
244,0.34578845
1211,0.38822848
1221,0.113181576
1276,0.6393196
302,0.95509064
647,0.81273025
888,0.08521611
1019,0.13051069
512,0.12291862
1103,0.19325314
977,0.15137005
953,0.14172432
718,0.15481174
857,0.11511102
1142,0.17498478
1254,0.12519205
543,0.120944135
240,0.25230947
810,0.23994462
1189,0.3867259
959,0.09295405
1263,0.22931083
783,0.13051069
1283,0.113181576
284,0.98220783
204,0.9638644
1168,0.113181576
529,0.94348586
644,0.108121686
84,0.297232
788,0.05526229
796,0.0642762
297,0.9541473
277,0.9638644
645,0.1360202
352,0.9144874
928,0.54692316
519,0.16942902
194,0.4264151
431,0.21189621
135,0.26722875
774,0.05882518
637,0.13051069
178,0.9699183
724,0.097055055
414,0.11573672
589,0.8087028
468,0.8703172
315,0.9262956
235,0.26125282
196,0.26125282
1140,0.1480523
101,0.30912626
626,0.3890809
335,0.07978498
1258,0.47516552
1006,0.6984807
367,0.07895754
853,0.12519205
137,0.9208161
939,0.5465683
537,0.12973204
882,0.113181576
579,0.18887325
1161,0.18502425
400,0.88977695
758,0.063654035
126,0.32093933
461,0.08568504
1064,0.06837463
397,0.07744771
264,0.1842524
435,0.09499819
411,0.9313173
320,0.26125282
459,0.087426975
1071,0.54692316
505,0.083531655
760,0.101316765
1192,0.12782778
910,0.17681569
542,0.83739275
1105,0.10518392
1308,0.10574371
745,0.66662043
1001,0.502661
986,0.14172432
1022,0.113181576
1094,0.6781946
917,0.07835819
484,0.9197426
123,0.19469579
1122,0.38723752
242,0.9518722
559,0.8598409
1252,0.05698455
358,0.94027734
954,0.12890439
383,0.23680003
801,0.113181576
1036,0.5020987
140,0.60552824
989,0.113181576
92,0.919517
518,0.29448086
1296,0.11511102
987,0.6984807
552,0.25987774
1080,0.113181576
678,0.29331684
1305,0.54692316
840,0.59863776
507,0.1776561
157,0.26125282
360,0.20795435
832,0.24349101
1199,0.113181576
573,0.8933641
1295,0.1480523
145,0.21734546
75,0.23486628
658,0.33623815
750,0.11511102
883,0.15481174
281,0.96782124
1061,0.62083167
206,0.23736516
97,0.9331641
1107,0.1480523
1059,0.11034032
220,0.9202402
526,0.16182531
493,0.16043186
742,0.05526229
885,0.15032926
454,0.09910806
147,0.26125282
103,0.9595387
156,0.27974305
612,0.47852144
28,0.95509064
566,0.102428816
874,0.113181576
580,0.9092392
1261,0.9124609
401,0.886256
1196,0.10574371
283,0.26125282
1248,0.09295405
527,0.16942902
72,0.9423347
490,0.96399087
63,0.9718827
734,0.32936996
402,0.90032333
106,0.26125282
1183,0.06837463
1007,0.53213334
1264,0.08287527
680,0.113181576
717,0.14299813
798,0.113181576
550,0.63891846
1085,0.113181576
571,0.21517576
555,0.19541518
1223,0.5881971
1285,0.0909624
1204,0.1480523
67,0.9465505
177,0.2667216
1099,0.25887585
598,0.88905066
842,0.102151655
114,0.6383235
891,0.08900922
847,0.13324133
1057,0.4630326
1125,0.13051069
899,0.4576108
524,0.098455586
980,0.5881971
1013,0.6984807
152,0.26125282
299,0.29901233
1074,0.113181576
369,0.89583164
1193,0.113181576
361,0.80575037
1292,0.113181576
109,0.34578845
22,0.48125613
347,0.09910806
1113,0.45047206
412,0.12510839
371,0.9029096
1244,0.40574652
835,0.113181576
621,0.5055012
1195,0.113181576
331,0.27194956
289,0.8824679
1106,0.3143507
1069,0.102151655
364,0.25987774
238,0.9622107
1005,0.113181576
935,0.063661434
952,0.14172432
617,0.12519205
417,0.1862709
470,0.12510839
1027,0.113181576
1203,0.06554876
534,0.8541765
0,0.9446237
1268,0.113181576
590,0.5701756
523,0.22580464
1255,0.113181576
619,0.16922015
614,0.12006017
771,0.5525741
292,0.21734546
303,0.20385672
269,0.26125282
130,0.9202402
873,0.060949888
646,0.26706496
163,0.95769525
557,0.84323406
1277,0.14172432
974,0.08476906
363,0.098455586
1052,0.113181576
1186,0.08345627
51,0.38567424
574,0.14246604
1251,0.09916553
7,0.30912626
1134,0.13051069
639,0.20197998
489,0.9380314
421,0.20507883
